year,state,all_death,nat_death,syn_death,methad_death,heroin_death,presc_rate,treat_fac,uninsur,uninsur_rate,insur,insur_rate,labor_force,employed,employed_rate,unemployed,unemployed_rate,poverty,poverty_rate,median_income
2008,Idaho,72,47,NA,18,NA,82.7,67,250615,19.1,1061904,80.9,755150,716648,94.63409090909092,38502,5.36590909090909,186015,12.5,47561
2008,Illinois,846,178,83,83,107,60.2,566,1542646,13.9,9521474,86.1,6657238,6238620,93.39803921568628,418618,6.60196078431372,1529235,12.2,56230
2008,Indiana,311,109,54,84,56,103.3,268,817222,15.1,4588117,84.9,3232097,3041827,93.84565217391305,190270,6.15434782608695,799567,12.9,48010
2008,Iowa,127,78,25,27,10,59.1,84,248020,10,2233944,90,1679304,1608702,95.61111111111111,70602,4.38888888888888,331057,11.4,49007
2008,Kansas,96,48,18,22,NA,82.7,201,305209,12.8,2071771,87.2,1499683,1430635,95.9857142857143,69048,4.01428571428571,307804,11.3,50174
2008,Kentucky,365,229,44,126,12,136.6,265,542705,15,3065919,85,2030744,1900687,92.91583333333334,130057,7.08416666666666,716951,17.3,41489
2008,Louisiana,130,59,10,47,14,113.7,127,732996,19.5,3029762,80.5,2084846,1982385,94.2875,102461,5.7125,755150,17.6,43635
2008,Maine,105,46,15,50,NA,88.7,170,131753,12.1,956030,87.9,701641,663177,93.80625,38464,6.19375,161170,12.6,46419
2008,Maryland,513,173,35,154,105,65.5,316,596241,12.3,4240175,87.7,3001958,2874990,95.32916666666667,126968,4.67083333333333,448788,8.2,70482
2008,Massachusetts,596,141,54,80,58,69.2,227,240442,4.4,5216110,95.6,3452445,3261407,94.62142857142858,191038,5.37857142857142,632158,10.1,65304
2008,Michigan,643,222,73,150,216,89.9,452,1054990,12.4,7442154,87.6,4921471,4529293,91.09638554216868,392178,8.90361445783132,1402736,14.4,48606
2008,Minnesota,227,90,32,60,NA,56.5,258,423662,9.5,4056105,90.5,2925088,2766337,94.02298850574714,158751,5.97701149425287,489714,9.6,57318
2008,Mississippi,106,58,34,15,NA,113.2,77,479108,19.3,1997123,80.7,1306773,1220991,92.26341463414634,85782,7.73658536585365,590480,20.8,37818
2008,Missouri,475,224,55,89,120,86.8,211,711271,14.3,4265189,85.7,3028870,2842851,93.74347826086957,186019,6.25652173913043,774937,13.5,46847
2008,Montana,70,27,16,26,NA,85.3,38,166021,20.4,647810,79.6,509162,483348,94.89464285714286,25814,5.10535714285714,132971,14.1,43948
2008,Nebraska,29,14,NA,10,NA,66.2,93,184040,12.2,1320593,87.8,989766,956768,96.79247311827957,32998,3.20752688172043,186480,10.8,49731
2008,Nevada,397,214,27,112,31,97,62,529094,23.2,1747694,76.8,1363575,1272188,93.6,91387,6.4,288334,11.2,56432
2008,New Hampshire,94,48,14,21,11,81.7,35,134877,12.1,980663,87.9,742796,714115,96.16,28681,3.84,99939,7.8,63235
2008,New Jersey,331,124,19,52,116,59.5,278,1017136,13.7,6397129,86.3,4504433,4263966,94.4952380952381,240467,5.5047619047619,740069,8.7,70347
2008,New Mexico,324,204,22,52,65,71.4,85,404763,23.9,1292204,76.1,944550,902414,95.31818181818181,42136,4.68181818181818,329857,17,43719
2008,New York,1116,466,121,277,219,48.4,880,2156461,13.1,14317237,86.9,9664779,9139082,94.23064516129033,525697,5.76935483870967,2595816,13.7,55980
2008,North Carolina,846,409,127,301,64,88.6,317,1361040,17.4,6481711,82.6,4560061,4281715,93.282,278346,6.718,1301882,14.6,46574
2008,North Dakota,32,13,NA,NA,NA,61.7,56,61607,11.6,467800,88.4,371025,359333,96.40754716981132,11692,3.59245283018867,70654,11.5,45996
2008,Ohio,814,330,107,182,238,97.5,337,1261883,13.1,8404854,86.9,5965179,5580849,92.9625,384330,7.0375,1489314,13.3,48011
2008,Oklahoma,410,249,70,114,NA,111.3,141,660010,21.5,2415131,78.5,1746475,1681084,96.30909090909091,65391,3.69090909090909,554237,15.7,42836
2008,Oregon,342,92,22,134,93,99.1,210,579896,18,2647345,82,1955125,1827352,92.78333333333335,127773,7.21666666666666,501475,13.5,50165
2008,Pennsylvania,611,260,99,111,158,76.5,438,1080141,10.6,9119557,89.4,6451540,6109644,94.2910447761194,341896,5.70895522388059,1454240,12.1,50702
2008,Rhode Island,133,29,13,28,NA,82.9,48,103424,11.8,771330,88.2,570328,525941,92.8,44387,7.2,122173,12.1,54562
2008,South Carolina,218,120,41,58,11,94.1,80,721391,19.2,3030362,80.8,2142239,1996412,91.61739130434783,145827,8.38260869565217,680134,15.7,44695
2008,South Dakota,31,15,NA,NA,NA,52.1,49,84655,12.7,583847,87.3,446617,432927,96.3969696969697,13690,3.6030303030303,98248,12.7,46244
2008,Tennessee,480,266,98,118,NA,132.9,160,777755,14.8,4485586,85.2,3054801,2853759,92.15473684210527,201042,7.84526315789473,939056,15.5,43610
